time,Ih,Ih_gil
3771,7.834749520142327,9
3772,7.834749520142327,9
3773,7.834749520142327,9
3774,7.834749520142327,9
3775,7.834749520142327,8.833333333333334
3776,7.834749520142327,8.75
3777,7.834749520142327,8.666666666666666
3778,7.834749520142327,9
3779,7.834749520142327,9
3780,7.834749520142327,9
3781,7.834749520142327,9
3782,7.834749520142327,9
3784,7.834749520142327,10
3785,7.834749520142327,10
3786,7.834749520142327,10
3787,7.834749520142327,10
3788,7.834749520142327,10
3789,7.834749520142327,10
3790,7.834749520142327,10
3791,7.834749520142327,9.333333333333334
3792,7.834749520142327,9.333333333333334
3793,7.834749520142327,10
3794,7.834749520142327,10
3795,7.834749520142327,9.333333333333334
3798,7.834749520142327,10
3799,7.834749520142327,10
3800,7.834749520142327,9.75
3801,7.834749520142327,10
3802,7.834749520142327,10
3803,7.834749520142327,10
3804,7.834749520142327,10
3805,7.834749520142327,10
3806,7.834749520142327,10
3807,7.834749520142327,10
3808,7.834749520142327,9
3810,7.834749520142327,9
3812,7.834749520142327,8
3813,7.834749520142327,7
3814,7.834749520142327,7.2
3815,7.834749520142327,7
3818,7.834749520142327,7
3819,7.834749520142327,7
3820,7.834749520142327,7
3821,7.834749520142327,8
3823,7.834749520142327,9
3824,7.834749520142327,9.333333333333334
3826,7.834749520142327,9.75
3827,7.834749520142327,9
3828,7.834749520142327,9
3829,7.834749520142327,9
3831,7.834749520142327,9
3832,7.834749520142327,9
3833,7.834749520142327,8
3835,7.834749520142327,7.5
3838,7.834749520142327,6
3839,7.834749520142327,6
3840,7.834749520142327,6.25
3841,7.834749520142327,8
3842,7.834749520142327,9
3843,7.834749520142327,8
3844,7.834749520142327,9
3845,7.834749520142327,9.25
3847,7.834749520142327,9
3848,7.834749520142327,9
3849,7.834749520142327,9
3850,7.834749520142327,9
3851,7.834749520142327,10
3856,7.834749520142327,10
3857,7.834749520142327,10
3858,7.834749520142327,10
3860,7.834749520142327,10
3861,7.834749520142327,10
3862,7.834749520142327,10
3863,7.834749520142327,10
3864,7.834749520142327,10
3865,7.834749520142327,10
3866,7.834749520142327,9
3867,7.834749520142327,9
3868,7.834749520142327,9
3869,7.834749520142327,9.5
3870,7.834749520142327,10
3871,7.834749520142327,9
3872,7.834749520142327,8.8
3873,7.834749520142327,8
3874,7.834749520142327,8
3875,7.834749520142327,8
3876,7.834749520142327,8
3878,7.834749520142327,8
3880,7.834749520142327,8.666666666666666
3881,7.834749520142327,9
3882,7.834749520142327,9
3883,7.834749520142327,8.75
3884,7.834749520142327,6.2
3885,7.834749520142327,6
3886,7.834749520142327,6
3888,7.834749520142327,6
3889,7.834749520142327,6
3890,7.834749520142327,6
3891,7.834749520142327,6
3893,7.834749520142327,6
3895,7.834749520142327,6
3896,7.834749520142327,6
3897,7.834749520142327,6
3898,7.834749520142327,6
3899,7.834749520142327,7
3901,7.834749520142327,7.5
3902,7.834749520142327,8
3904,7.834749520142327,8
3905,7.834749520142327,8
3907,7.834749520142327,7.25
3908,7.834749520142327,7
3909,7.834749520142327,7.5
3910,7.834749520142327,8
3911,7.834749520142327,5.5
3912,7.834749520142327,5
3914,7.834749520142327,5
3915,7.834749520142327,5
3916,7.834749520142327,6
3917,7.834749520142327,6.25
3918,7.834749520142327,6
3919,7.834749520142327,6
3920,7.834749520142327,6
3921,7.834749520142327,7.25
3922,7.834749520142327,8
